SCHOOL,ID,LONGITUD,LATITUDE,Year,Round,Is_Center
Princeton,186131,-74.65936500000001,40.348732,1989,All,N
Illinois,145637,-88.229114,40.104718,1989,All,N
Syracuse,196413,-76.136975,43.040176,1989,All,N
Missouri,178396,-92.328843,38.94531,1989,All,N
Louisville,157289,-85.760412,38.216862,1989,All,N
Arkansas,106397,-94.17698100000001,36.070009000000006,1989,All,N
Georgia Tech,139755,-84.394832,33.772420000000004,1989,All,N
Florida,134130,-82.347911,29.646290000000004,1989,All,N
Pittsburgh,215293,-79.953254,40.444388000000004,1989,All,N
Ball State,150136,-85.40904300000001,40.203431,1989,All,N
Colorado State,126818,-105.08073200000001,40.574805,1989,All,N
Texas,228778,-97.73827299999999,30.282825,1989,All,N
Loyola Marymount,117946,-118.41574399999999,33.97085,1989,All,N
Arkansas-Little Rock,106245,-92.33977800000001,34.723254,1989,All,N
Creighton,181002,-95.947811,41.265361,1989,All,N
Bucknell,211291,-76.882616,40.954316999999996,1989,All,N
McNeese State,159717,-93.21722199999999,30.178187,1989,All,N
Oklahoma,207500,-97.444211,35.209407,1989,All,N
North Carolina,199120,-79.050969,35.911769,1989,All,N
Michigan,170976,-83.742769,42.275921000000004,1989,All,N
Florida State,134097,-84.291921,30.440756,1989,All,N
Virginia,234076,-78.503428,38.035665,1989,All,N
Alabama,100751,-87.545978,33.211875,1989,All,N
UCLA,110662,-118.44217900000001,34.07178,1989,All,N
La Salle,213367,-75.153061,40.037979,1989,All,N
Louisiana Tech,159647,-92.649963,32.528296999999995,1989,All,N
Iowa State,153603,-93.648504,42.026212,1989,All,N
South Alabama,102094,-88.17871099999999,30.696033,1989,All,N
Providence,217402,-71.437446,41.842742,1989,All,N
Middle Tennessee State,220978,-86.360618,35.848005,1989,All,N
Xavier,206622,-84.47465,39.149547,1989,All,N
Southern,160621,-91.190105,30.524558000000003,1989,All,N
East Tennessee State,220075,-82.366954,36.301643,1989,All,N
Arizona,104179,-110.95081499999999,32.232671999999994,1989,All,N
Indiana,151351,-86.52655899999999,39.166090000000004,1989,All,N
Seton Hall,186584,-74.246027,40.742336,1989,All,N
UNLV,182281,-115.138462,36.106047,1989,All,N
Memphis,220862,-89.938068,35.118878,1989,All,N
Oregon State,209542,-123.274723,44.56395,1989,All,N
UTEP,228796,-106.504098,31.77015,1989,All,N
Saint Mary's (Cal.),123554,-122.109031,37.840731,1989,All,N
Clemson,217882,-82.835114,34.679381,1989,All,N
LSU,159391,-91.178921,30.414986,1989,All,N
Evansville,150534,-87.531644,37.971548999999996,1989,All,N
DePaul,144740,-87.62724,41.877618,1989,All,N
Idaho,142285,-117.01416699999999,46.727406,1989,All,N
Missouri State,179566,-93.281281,37.199258,1989,All,N
George Mason,232186,-77.307428,38.829976,1989,All,N
Robert Morris,215655,-80.210468,40.520415,1989,All,N
Centroid,0,-89.8183973,37.41735497,1989,All,Y
Georgetown,131496,-77.073463,38.908809000000005,1989,Sweet 16,N
NC State,199193,-78.67451700000001,35.785111,1989,Sweet 16,N
Duke,198419,-78.937624,36.001135,1989,Sweet 16,N
Minnesota,174066,-93.23546400000001,44.972851,1989,Sweet 16,N
Arizona,104179,-110.95081499999999,32.232671999999994,1989,Sweet 16,N
UNLV,182281,-115.138462,36.106047,1989,Sweet 16,N
Seton Hall,186584,-74.246027,40.742336,1989,Sweet 16,N
Indiana,151351,-86.52655899999999,39.166090000000004,1989,Sweet 16,N
Oklahoma,207500,-97.444211,35.209407,1989,Sweet 16,N
Virginia,234076,-78.503428,38.035665,1989,Sweet 16,N
Michigan,170976,-83.742769,42.275921000000004,1989,Sweet 16,N
North Carolina,199120,-79.050969,35.911769,1989,Sweet 16,N
Illinois,145637,-88.229114,40.104718,1989,Sweet 16,N
Louisville,157289,-85.760412,38.216862,1989,Sweet 16,N
Syracuse,196413,-76.136975,43.040176,1989,Sweet 16,N
Missouri,178396,-92.328843,38.94531,1989,Sweet 16,N
Centroid,0,-87.24872825,38.47842994,1989,Sweet 16,Y
Georgetown,131496,-77.073463,38.908809000000005,1989,Elite 8,N
Duke,198419,-78.937624,36.001135,1989,Elite 8,N
UNLV,182281,-115.138462,36.106047,1989,Elite 8,N
Seton Hall,186584,-74.246027,40.742336,1989,Elite 8,N
Virginia,234076,-78.503428,38.035665,1989,Elite 8,N
